s,kind,off,WA,RA,cs,XF,ZE
0,DREAD,0xAE76,2,3,-29,0,0
1,DREAD,0x7B76,2,3,-29,0,0
2,DREAD,0xAF76,1,3,58,0,0
3,DREAD,0x7776,1,2,-62,0,1
4,RDXREG,0xAB76,0,1,60,0,0
23,DREAD,0xE54C,3,3,0,0,0
24,DWRITE,0x1288,3,3,0,0,0
25,idle,0xE41C,3,3,-32,1,1
26,RDRREG,0xD4D8,3,3,0,0,0
27,idle,0xAFCD,3,3,0,0,0
28,idle,0x5843,3,3,0,0,0
29,idle,0xB32C,3,3,-4,0,0
30,idle,0xEA50,3,3,14,0,0
31,idle,0xD267,3,3,-30,0,0
32,idle,0xC344,3,3,-14,1,1
33,idle,0xFBA2,3,0,10,0,0
34,idle,0xFBA3,3,1,-29,1,1
35,idle,0xFA59,1,1,-10,0,0
36,idle,0xFBA2,0,0,-32,1,1
37,RDAD,0xFC70,3,0,12,0,0
38,RDAD,0xFEF9,0,1,-27,1,1
39,idle,0xFBA3,1,1,-12,1,0
40,DWRITE,0x1000,3,3,-22,0,0
41,idle,0xFEF8,3,3,-10,1,1
42,idle,0x598F,3,3,-1,0,0
43,RDAD,0xFEFF,3,3,-5,0,0
44,DWRITE,0x1180,3,0,11,1,1
45,idle,0xFEFE,1,1,-28,0,0
46,idle,0xD4D8,0,0,4,1,1
47,idle,0xBB20,3,3,0,0,0
48,idle,0xB328,3,3,0,0,0
49,idle,0xEA74,3,3,-30,1,1
50,idle,0xC1CC,3,0,8,0,0
51,DREAD,0xB870,3,1,-30,1,1
52,DWRITE,0x1000,1,1,-8,0,0
53,DREAD,0xE54C,3,3,0,0,0
54,idle,0xC1CC,0,0,-32,1,1
55,RDAD,0xB870,3,3,0,0,0
56,idle,0xFFFE,3,3,0,0,0
57,idle,0xFFFE,3,3,-32,1,1
58,sub0,0xC278,3,0,8,0,0
59,RDAD,0xB334,3,1,-30,1,1
60,idle,0xB870,1,1,-8,0,0
61,idle,0xC278,0,0,-32,1,1
62,idle,0xC324,3,0,13,0,0
63,sub0,0xC518,3,1,-27,1,1
64,idle,0xB334,1,1,-13,0,0
65,idle,0xC324,0,0,-32,1,1
66,idle,0xCF24,3,0,13,0,0
67,idle,0xC688,3,1,-27,1,1
68,idle,0xC518,1,1,-13,0,0
69,idle,0xCF24,0,0,-32,1,1
70,sub0,0xCE78,3,0,8,0,0
71,RDRREG,0x5991,3,1,-30,1,1
72,idle,0xC688,1,1,-8,0,0
73,idle,0xCE78,0,0,-32,1,1
74,idle,0x5990,3,3,-6,0,0
75,DWRITE,0x3000,3,3,-26,1,1
76,RDAD,0xFFFF,3,3,0,0,0
77,DWRITE,0x1880,3,3,0,1,0
78,idle,0xBC20,3,3,-32,1,1
79,idle,0x573C,3,3,0,0,0
80,idle,0xB275,3,3,0,0,0
81,idle,0xD8D8,3,3,-4,0,0
82,idle,0xC458,3,3,14,0,0
83,idle,0xFA4B,3,3,-30,0,0
84,idle,0xEB60,3,3,-14,1,1
85,RDAD,0xFDF9,3,0,10,0,0
86,RDAD,0xFDFB,3,1,-29,1,1
87,idle,0xFC71,1,1,-10,0,0
88,idle,0xFDF9,0,0,-32,1,1
89,idle,0xFEEA,3,0,12,0,0
90,RDAD,0xFEFB,0,1,-27,1,1
91,idle,0xFDFB,1,1,-12,1,0
92,DWRITE,0x1000,3,3,-22,0,0
93,idle,0xFEFA,3,3,-10,1,1
94,idle,0xB31F,3,3,-1,0,0
95,RDAD,0xFEFD,3,3,-5,0,0
96,DWRITE,0x1480,3,0,-11,1,1
97,idle,0xFEFC,1,1,-28,0,0
98,idle,0xB324,0,0,-4,1,1
99,RDXREG,0xE31C,3,3,0,0,0
100,idle,0xDAD8,3,3,-15,0,0
101,idle,0xC500,3,3,-30,1,1
102,RDXREG,0xE8D8,3,0,8,0,0
103,DREAD,0xDFEC,3,1,-30,1,1
104,DWRITE,0x1000,1,1,-8,0,0
105,idle,0xE8D8,0,0,-32,1,1
106,idle,0xDFEC,3,3,0,0,0
107,idle,0xFF01,3,3,0,0,0
108,idle,0xFF01,3,3,-32,1,1
109,idle,0xE984,3,0,8,0,0
110,RDRREG,0xDAFC,3,1,-30,1,1
111,idle,0xDFEC,1,1,-8,0,0
112,idle,0xE984,0,0,-32,1,1
113,RDXREG,0xEA30,3,0,13,0,0
114,idle,0xEB88,3,1,-27,1,1
115,idle,0xDAFC,1,1,-13,0,0
116,idle,0xEA30,0,0,-32,1,1
117,idle,0xF62C,3,0,13,0,0
118,idle,0xEDEC,3,1,-27,1,1
119,idle,0xEB88,1,1,-13,0,0
120,idle,0xF62C,0,0,-32,1,1
121,idle,0xF584,3,0,8,0,0
122,idle,0xB321,3,1,-30,1,1
123,idle,0xEDEC,1,1,-8,0,0
124,idle,0xF584,0,0,-32,1,1
125,idle,0xB320,3,3,-6,0,0
126,RDAD,0xFF7F,3,3,0,0,0
127,DWRITE,0x3040,3,3,-26,1,1
