idx,slot_k,offset,coeff_byte,csign,cmag,gain,role,pair_id,pair_role
0,108,-1,124,0,124,0.9764,WRITE_HEAD,0,hi
1,57,4255,124,0,124,0.9764,READ,0,lo
2,119,-1,191,1,63,-0.4961,WRITE_HEAD,1,hi
3,115,-1,191,1,63,-0.4961,WRITE_HEAD,1,lo
4,68,6000,191,1,63,-0.4961,READ,2,hi
5,64,4855,191,1,63,-0.4961,READ,2,lo
6,95,4972,231,1,103,-0.811,READ,3,hi
7,43,2405,231,1,103,-0.811,READ,3,lo
8,96,3921,220,1,92,-0.7244,READ,4,hi
9,44,1447,220,1,92,-0.7244,READ,4,lo
10,98,6002,228,1,100,-0.7874,READ,5,hi
11,46,3591,228,1,100,-0.7874,READ,5,lo
12,97,2473,151,1,23,-0.1811,READ,6,hi
13,45,4903,151,1,23,-0.1811,READ,6,lo
14,92,1446,231,1,103,-0.811,READ,7,hi
15,40,910,231,1,103,-0.811,READ,7,lo
16,93,1116,220,1,92,-0.7244,READ,8,hi
17,41,516,220,1,92,-0.7244,READ,8,lo
18,83,-4481,135,1,7,-0.0551,WRITE_NEG,9,hi
19,31,-5249,135,1,7,-0.0551,WRITE_NEG,9,lo
20,84,256,172,1,44,-0.3465,READ,10,single
21,82,257,199,1,71,-0.5591,READ,11,single
22,32,258,172,1,44,-0.3465,READ,12,single
23,30,259,199,1,71,-0.5591,READ,13,single
24,81,3847,223,1,95,-0.748,READ,14,hi
25,29,6004,223,1,95,-0.748,READ,14,lo
26,94,1117,191,1,63,-0.4961,READ,15,hi
27,42,518,191,1,63,-0.4961,READ,15,lo
28,127,7202,188,1,60,-0.4724,READ,16,hi
29,75,-4097,188,1,60,-0.4724,WRITE_NEG,16,lo
30,125,6946,191,1,63,-0.4961,READ,17,hi
31,74,-1,191,1,63,-0.4961,WRITE_HEAD,17,lo
32,91,1117,190,1,62,-0.4882,READ,18,single
33,87,-4097,203,1,75,-0.5906,WRITE_NEG,19,single
34,39,518,190,1,62,-0.4882,READ,20,single
35,35,-4097,203,1,75,-0.5906,WRITE_NEG,21,single
36,123,7970,223,1,95,-0.748,READ,22,hi
37,111,-1,223,1,95,-0.748,WRITE_HEAD,22,lo
38,104,-1,223,1,95,-0.748,WRITE_HEAD,23,hi
39,72,5665,223,1,95,-0.748,READ,23,lo
40,60,4763,223,1,95,-0.748,READ,24,hi
41,52,-12289,223,1,95,-0.748,WRITE_NEG,24,lo
42,80,5493,255,1,127,-1.0,READ,25,hi
43,28,2934,255,1,127,-1.0,READ,25,lo
44,79,6003,255,1,127,-1.0,READ,26,hi
45,27,3463,255,1,127,-1.0,READ,26,lo
46,80,5493,255,1,127,-1.0,READ,27,hi
47,28,2934,255,1,127,-1.0,READ,27,lo
48,79,6003,255,1,127,-1.0,READ,28,hi
49,27,3463,255,1,127,-1.0,READ,28,lo
50,83,-4481,135,1,7,-0.0551,WRITE_NEG,29,hi
51,31,-5249,135,1,7,-0.0551,WRITE_NEG,29,lo
